Velocity [MPH],Angle of Attack,Port Number,Distance [m],Pressure AVG
65,10,10,0.07112,101147.112
65,10,11,0.004445,101056.533
65,10,12,0.00889,100997.673
65,10,13,0.01778,100940.9385
65,10,14,0.02667,100890.744
65,10,15,0.03556,100874.394
65,10,16,0.04445,100830.7395
65,10,17,0.05334,100787.085
65,10,18,0.06223,100003.92
65,15,1,0,99327.03
65,15,2,0.004445,99565.086
65,15,3,0.00889,100121.64
65,15,4,0.01778,100247.0445
65,15,5,0.02667,100279.7445
65,15,6,0.03556,100318.9845
65,15,7,0.04445,100311.3
65,15,8,0.05334,100347.27
65,15,9,0.06223,100366.89
65,15,10,0.07112,101197.3065
65,15,11,0.004445,101124.222
65,15,12,0.00889,101034.7875
65,15,13,0.01778,100968.243
65,15,14,0.02667,100911.5085
65,15,15,0.03556,100867.854
65,15,16,0.04445,100848.234
65,15,17,0.05334,100808.994
65,15,18,0.06223,100249.824
65,20,1,0,100241.8125
65,20,2,0.004445,100204.698
65,20,3,0.00889,100348.578
65,20,4,0.01778,100404.168
65,20,5,0.02667,100400.898
65,20,6,0.03556,100407.438
65,20,7,0.04445,100394.358
65,20,8,0.05334,100394.358
65,20,9,0.06223,100397.628
65,20,10,0.07112,101204.991
65,20,11,0.004445,101114.412
65,20,12,0.00889,101010.753
65,20,13,0.01778,100940.9385
65,20,14,0.02667,100880.934
65,20,15,0.03556,100830.7395
65,20,16,0.04445,100787.085
65,20,17,0.05334,100714.0005
65,20,18,0.06223,100467.279
70,0,1,0,101256.33
70,0,2,0.004445,99725.97
70,0,3,0.00889,99637.68
70,0,4,0.01778,99725.97
70,0,5,0.02667,99814.26
70,0,6,0.03556,99892.74
70,0,7,0.04445,99961.41
70,0,8,0.05334,100157.61
70,0,9,0.06223,100304.76
70,0,10,0.07112,100167.42
70,0,11,0.004445,100294.95
70,0,12,0.00889,100442.1
70,0,13,0.01778,100451.91
70,0,14,0.02667,100412.67
70,0,15,0.03556,100451.91
70,0,16,0.04445,100461.72
70,0,17,0.05334,100402.86
70,0,18,0.06223,99255.09
70,5,1,0,100461.72
70,5,2,0.004445,99000.03
70,5,3,0.00889,99127.56
70,5,4,0.01778,99294.33
70,5,5,0.02667,99549.39
70,5,6,0.03556,99765.21
70,5,7,0.04445,99892.74
70,5,8,0.05334,100049.7
70,5,9,0.06223,100206.66
70,5,10,0.07112,100706.97
70,5,11,0.004445,100687.35
70,5,12,0.00889,100618.68
70,5,13,0.01778,100569.63
70,5,14,0.02667,100510.77
70,5,15,0.03556,100520.58
70,5,16,0.04445,100481.34
70,5,17,0.05334,100432.29
70,5,18,0.06223,98627.25
70,10,1,0,98990.22
70,10,2,0.004445,98480.1
70,10,3,0.00889,98823.45
70,10,4,0.01778,99264.9
70,10,5,0.02667,99539.58
70,10,6,0.03556,99755.4
70,10,7,0.04445,99931.98
70,10,8,0.05334,100147.8
70,10,9,0.06223,100265.52
70,10,10,0.07112,101011.08
70,10,11,0.004445,100893.36
70,10,12,0.00889,100775.64
70,10,13,0.01778,100697.16
70,10,14,0.02667,100638.3
70,10,15,0.03556,100599.06
70,10,16,0.04445,100559.82
70,10,17,0.05334,100500.96
70,10,18,0.06223,98509.53
70,15,1,0,98578.2
70,15,2,0.004445,99068.7
70,15,3,0.00889,99941.79
70,15,4,0.01778,100000.65
70,15,5,0.02667,100000.65
70,15,6,0.03556,99990.84
70,15,7,0.04445,99971.22
70,15,8,0.05334,99951.6
70,15,9,0.06223,99951.6
70,15,10,0.07112,101099.37
70,15,11,0.004445,100991.46
70,15,12,0.00889,100834.5
70,15,13,0.01778,100736.4
70,15,14,0.02667,100657.92
70,15,15,0.03556,100599.06
70,15,16,0.04445,100540.2
70,15,17,0.05334,100451.91
70,15,18,0.06223,99078.51
70,20,1,0,100177.23
70,20,2,0.004445,99853.5
70,20,3,0.00889,99882.93
70,20,4,0.01778,99873.12
70,20,5,0.02667,99853.5
70,20,6,0.03556,99843.69
70,20,7,0.04445,99833.88
70,20,8,0.05334,99833.88
70,20,9,0.06223,99843.69
70,20,10,0.07112,101040.51
70,20,11,0.004445,100942.41
70,20,12,0.00889,100805.07
70,20,13,0.01778,100697.16
70,20,14,0.02667,100608.87
70,20,15,0.03556,100540.2
70,20,16,0.04445,100461.72
70,20,17,0.05334,100363.62
70,20,18,0.06223,99814.26
